Pulled from: https://en.wikipedia.org/wiki/Cuneiform_(Unicode_block),,,,,
𒇀,U+121C0,LAGAB x BAD,760,486,GIGIR
𒇁,U+121C1,LAGAB x BI,769,496,
𒇂,U+121C2,LAGAB x DAR,765,489,
𒇃,U+121C3,LAGAB x EN,764,,
𒇄,U+121C4,LAGAB x GA,775,,
𒇅,U+121C5,LAGAB x GAR,801,528,
𒇆,U+121C6,LAGAB x GUD,772,493,
𒇇,U+121C7,LAGAB x GUD + GUD,766,494,
𒇈,U+121C8,LAGAB x ḪA,800,527,
𒇉,U+121C9,LAGAB x ḪAL,756,484,ENGUR
𒇊,U+121CA,LAGAB x ḪI x NUN,784,509,
𒇋,U+121CB,LAGAB x IGI gunû,,,
𒇌,U+121CC,LAGAB x IM,785,510,
𒇍,U+121CD,LAGAB x IM + ḪA,,,
𒇎,U+121CE,LAGAB x IM + LU,,,
𒇏,U+121CF,LAGAB x KI,789,514,
𒇐,U+121D0,LAGAB x KIN,794,519,
𒇑,U+121D1,LAGAB x KU3,790,513; 506,GARIM
𒇒,U+121D2,LAGAB x KUL,761,,
𒇓,U+121D3,LAGAB x KUL + ḪI + A,762,,
𒇔,U+121D4,LAGAB x LAGAB,804,529,NIĜIN
𒇕,U+121D5,LAGAB x LIŠ,782,"486,1; 503",
𒇖,U+121D6,LAGAB x LU,793,518,
𒇗,U+121D7,LAGAB x LUL,777,502,
𒇘,U+121D8,LAGAB x ME,791,516,
𒇙,U+121D9,LAGAB x ME + EN,792,517,
𒇚,U+121DA,LAGAB x MUŠ,780,507,
𒇛,U+121DB,LAGAB x NE,768,495,UDUB
𒇜,U+121DC,LAGAB x ŠE + SUM,779,"491,6; 492",
𒇝,U+121DD,LAGAB x ŠITA + GIŠ + ERIN2,,,
𒇞,U+121DE,LAGAB x ŠITA + GIŠ tenû,,,
𒇟,U+121DF,LAGAB x ŠU2,802,520,
𒇠,U+121E0,LAGAB x ŠU2 + ŠU2,803,521,
𒇡,U+121E1,LAGAB x SUM,767,491,ZAR
𒇢,U+121E2,LAGAB x TAG,,,
𒇣,U+121E3,LAGAB x TAK4,759,485,
𒇤,U+121E4,LAGAB x TE + A + SU + NA,,,
𒇥,U+121E5,LAGAB x U,786,511,"GÍGIR ""wain""; PÚ, TÚL ""source, fount"""
𒇦,U+121E6,LAGAB x U + A,787,512,
𒇧,U+121E7,LAGAB x U + U + U,788,515,BUL
𒇨,U+121E8,LAGAB x U2 + AŠ,774,499,
𒇩,U+121E9,LAGAB x UD,783,505,
𒇪,U+121EA,LAGAB x UŠ,770,,
𒇫,U+121EB,LAGAB squared,805,530,
𒇬,U+121EC,LAGAR,719,458,HZL nr. 186
𒇭,U+121ED,LAGAR x ŠE,722,460,SU7
𒇮,U+121EE,LAGAR x ŠE + SUM,723,,
𒇯,U+121EF,LAGAR gunû,721,459,DU6
𒇰,U+121F0,LAGAR gunû / LAGAR gunû ŠE,721v,,
𒇱,U+121F1,LAḪŠU,,,
𒇲,U+121F2,LAL,750,481,LA2
𒇳,U+121F3,LAL x LAL,751,482,LAL>2
𒇴,U+121F4,LAM,693,435,BA from GANBA(market)
𒇵,U+121F5,LAM x KUR,694,436,
𒇶,U+121F6,LAM x KUR + RU,694v,"436,4",
𒇷,U+121F7,LI,85,59,
𒇸,U+121F8,LIL,544,336,
𒇹,U+121F9,LIMMU2,215,124,
𒇺,U+121FA,LIŠ,591,377,DÍLIM
𒇻,U+121FB,LU,812,537,UDU
𒇼,U+121FC,LU x BAD,814,"537,65c; 537*",ÀD
𒇽,U+121FD,LU2,514,330,man
𒇾,U+121FE,LU2 x AL,523,,
𒇿,U+121FF,LU2 x BAD,517,,
𒈀,U+12200,LU2 x EŠ2,,,
𒈁,U+12201,LU2 x EŠ2 tenû,,,
𒈂,U+12202,LU2 x GAN2 tenû,521,,
𒈃,U+12203,LU2 x ḪI x BAD,,,
𒈄,U+12204,LU2 x IM,526,,
𒈅,U+12205,LU2 x KAD2,519,,
𒈆,U+12206,LU2 x KAD3,,,
𒈇,U+12207,LU2 x KAD3 + AŠ,,,
𒈈,U+12208,LU2 x KI,527,,
𒈉,U+12209,LU2 x LA + AŠ,,,
𒈊,U+1220A,LU2 x LAGAB,528,,
𒈋,U+1220B,LU2 x ME + EN,,,
𒈌,U+1220C,LU2 x NE,522,,
𒈍,U+1220D,LU2 x NU,,,
𒈎,U+1220E,LU2 x SI + AŠ,,,
𒈏,U+1220F,LU2 x SIK2 + BU,533,,
𒈐,U+12210,LU2 x TUG2,530,,AZLAG7
𒈑,U+12211,LU2 tenû,515,,
𒈒,U+12212,LU2 crossing LU2,,,
𒈓,U+12213,LU2 opposing LU2,,,
𒈔,U+12214,LU2 squared,,,
𒈕,U+12215,LU2 šešig,516; 534,330,
𒈖,U+12216,LU3,555,345,"GÚG, ŠÈ gunû"
𒈗,U+12217,LUGAL,266,151,
𒈘,U+12218,LUGAL / LUGAL,266v,,DADRUM?
𒈙,U+12219,LUGAL opposing LUGAL,266v,,unattested
𒈚,U+1221A,LUGAL šešig,,,
𒈛,U+1221B,LUḪ,494,321,
𒈜,U+1221C,LUL,570,355,NAR
𒈝,U+1221D,LUM,900,565,ḪUM
𒈞,U+1221E,LUM / LUM,902,565a; 566a,
𒈟,U+1221F,LUM / LUM GAR / GAR,904,566b,LÙGUD
𒈠,U+12220,MA,552,342,
𒈡,U+12221,MA x TAK4,,,
𒈢,U+12222,MA gunû,270,146,ḪASḪUR
𒈣,U+12223,MA2,201,122,
𒈤,U+12224,MAḪ,91,57,
𒈥,U+12225,MAR,483,307,
𒈦,U+12226,MAŠ,120,74,
𒈧,U+12227,MAŠ2,130,76,
𒈨,U+12228,ME,753,532,
𒈩,U+12229,MES,486,533,RID
𒈪,U+1222A,MI,681,427,
𒈫,U+1222B,MIN,825,570,
𒈬,U+1222C,MU,98,61,ĜU10
𒈭,U+1222D,MU / MU,301,169,"TAḪ, DAḪ"
𒈮,U+1222E,MUG,12,3,oakum
𒈯,U+1222F,MUG gunû,13,4,ZADIM
𒈰,U+12230,MUNSUB,820,543,MUNŠUB
𒈱,U+12231,MURGU2,,567,
𒈲,U+12232,MUŠ,585,374,
𒈳,U+12233,MUŠ x A,,,
𒈴,U+12234,MUŠ x KUR,,,
𒈵,U+12235,MUŠ x ZA,,,
𒈶,U+12236,MUŠ / MUŠ,586,,RI8
𒈷,U+12237,MUŠ / MUŠ x A + NA,,,
𒈸,U+12238,MUŠ crossing MUŠ,,,
𒈹,U+12239,MUŠ3,153,103,"INANNA, INNIN"
𒈺,U+1223A,MUŠ3 x A,154,,
𒈻,U+1223B,MUŠ3 x A + DI,155,,
𒈼,U+1223C,MUŠ3 x DI,,,
𒈽,U+1223D,MUŠ3 gunû,,,
𒈾,U+1223E,NA,110,70,
𒈿,U+1223F,NA2,689,431,NU2
𒉀,U+12240,NAGA,293,,
𒉁,U+12241,NAGA inverted,,,
𒉂,U+12242,NAGA x ŠU tenû,294,,
𒉃,U+12243,NAGA opposing NAGA,,,
𒉄,U+12244,NAGAR,893,560,
𒉅,U+12245,NAM NUTILLU,,,
𒉆,U+12246,NAM,134,79,
𒉇,U+12247,NAM2,,,
𒉈,U+12248,NE,313,172,
𒉉,U+12249,NE x A,315,,
𒉊,U+1224A,NE x UD,314,,
𒉋,U+1224B,NE šešig,312,173,BÍL
𒉌,U+1224C,NI,380,231,
𒉍,U+1224D,NI x E,,,
𒉎,U+1224E,NI2,641,399,
𒉏,U+1224F,NIM,690,433,NUM
𒉐,U+12250,NIM x GAN2 tenû,691,434,
𒉑,U+12251,NIM x GAR + GAN2 tenû,692,434a,
𒉒,U+12252,NINDA2,316,176,
𒉓,U+12253,NINDA2 x AN,320,,
𒉔,U+12254,NINDA2 x AŠ,317,"176,12; 177,2",
𒉕,U+12255,NINDA2 x AŠ + AŠ,316,"177,3",
𒉖,U+12256,NINDA2 x GUD,327,"187,6",
𒉗,U+12257,NINDA2 x ME + GAN2 tenû,,,
𒉘,U+12258,NINDA2 x NE,326,183,"ÁG ""darling"", RE"
𒉙,U+12259,NINDA2 x NUN,324,181,AZU
𒉚,U+1225A,NINDA2 x ŠE,333v3,,
𒉛,U+1225B,NINDA2 x ŠE + A AN,333,,ŠAM2
𒉜,U+1225C,NINDA2 x ŠE + AŠ,331,,
𒉝,U+1225D,NINDA2 x ŠE + AŠ + AŠ,332,,
𒉞,U+1225E,NINDA2 x U2 + AŠ,330,,
𒉟,U+1225F,NINDA2 x UŠ,,,
𒉠,U+12260,NISAG,545,337,"MURU2, MURUB4, ITI gunû"
𒉡,U+12261,NU,112,75,
𒉢,U+12262,NU11,115,71,ŠIR
𒉣,U+12263,NUN,143,87,
𒉤,U+12264,NUN LAGAR x GAR,,,
𒉥,U+12265,NUN LAGAR x MAŠ,,,
𒉦,U+12266,NUN LAGAR x SAL,,,
𒉧,U+12267,NUN LAGAR x SAL / NUN LAGAR x SAL,,,
𒉨,U+12268,NUN LAGAR x UŠ,,,
𒉩,U+12269,NUN tenû,144,87,
𒉪,U+1226A,NUN / NUN,502,325,NIR
𒉫,U+1226B,NUN crossing NUN,107,63d,
𒉬,U+1226C,NUN crossing NUN LAGAR / LAGAR,,,
𒉭,U+1226D,NUNUZ,614,394,
𒉮,U+1226E,NUNUZ AB2 x AŠGAB,619,"394c,e",USAN3
𒉯,U+1226F,NUNUZ AB2 x BI,621,394d,MUD3
𒉰,U+12270,NUNUZ AB2 x DUG,625,,
𒉱,U+12271,NUNUZ AB2 x GUD,623,,
𒉲,U+12272,NUNUZ AB2 x IGI gunû,627,,
𒉳,U+12273,NUNUZ AB2 x KAD3,618,,
𒉴,U+12274,NUNUZ AB2 x LA,616,394b,LAḪTAN
𒉵,U+12275,NUNUZ AB2 x NE,620,,
𒉶,U+12276,NUNUZ AB2 x SILA3,617,394b',LAḪTAN2
𒉷,U+12277,NUNUZ AB2 x U2,-624,,
𒉸,U+12278,NUNUZ KISIM5 x BI,621,394d,MUD3
𒉹,U+12279,NUNUZ KISIM5 x BI U,622,,MUD3.U
𒉺,U+1227A,PA,464,295,"GIDRU ""staff, sceptre"", UGULA ""overseer"", GARZA ""office"""
𒉻,U+1227B,PAD,746,469,ŠUK
𒉼,U+1227C,PAN,685,439,
𒉽,U+1227D,PAP,92,60,"PAB, KUR2"
𒉾,U+1227E,PEŠ2,741; 882,346,
𒉿,U+1227F,PI,598,383,
𒊀,U+12280,PI x A,598v,,HZL nr. 326
𒊁,U+12281,PI x AB,598v,,HZL nr. 318
𒊂,U+12282,PI x BI,598v,,HZL nr. 320
𒊃,U+12283,PI x BU,598v,,HZL nr. 324
𒊄,U+12284,PI x E,598v,,HZL nr. 322
𒊅,U+12285,PI x I,598v,,HZL nr. 319
𒊆,U+12286,PI x IB,598v,,HZL nr. 325
𒊇,U+12287,PI x U,598v,,HZL nr. 323
𒊈,U+12288,PI x U2,598v,,HZL nr. 321
𒊉,U+12289,PI crossing PI,598v,"383,3",
𒊊,U+1228A,PIRIG,,444,
𒊋,U+1228B,PIRIG x KAL,295,,
𒊌,U+1228C,PIRIG x UD,296,130,UG
𒊍,U+1228D,PIRIG x ZA,297,,
𒊎,U+1228E,PIRIG opposing PIRIG,,,
𒊏,U+1228F,RA,511,328,
𒊐,U+12290,RAB,262,149,
𒊑,U+12291,RI,142,86,
𒊒,U+12292,RU,111,48,
𒊓,U+12293,SA,172,104,
𒊔,U+12294,SAG NUTILLU,,,
𒊕,U+12295,SAG,184,115,
𒊖,U+12296,SAG x A,197,,
𒊗,U+12297,SAG x DU,187,,
𒊘,U+12298,SAG x DUB,,,
𒊙,U+12299,SAG x ḪA,198,,
𒊚,U+1229A,SAG x KAK,188,,
𒊛,U+1229B,SAG x KUR,,,
𒊜,U+1229C,SAG x LUM,200,,
𒊝,U+1229D,SAG x MI,195,,
𒊞,U+1229E,SAG x NUN,185,,
𒊟,U+1229F,SAG x SAL,199,,
𒊠,U+122A0,SAG x ŠID,191,,
𒊡,U+122A1,SAG x TAB,,,
𒊢,U+122A2,SAG x U2,192,,
𒊣,U+122A3,SAG x UB,193,,
𒊤,U+122A4,SAG x UM,186,,
𒊥,U+122A5,SAG x UR,196,,
𒊦,U+122A6,SAG x UŠ,190,,
𒊧,U+122A7,SAG / SAG,,,
𒊨,U+122A8,SAG gunû,512,329,DUL3
𒊩,U+122A9,SAL,883,554,MUNUS
𒊪,U+122AA,SAL LAGAB x AŠ2,,,
𒊫,U+122AB,SANGA2,,314,
𒊬,U+122AC,SAR,541,152,
𒊭,U+122AD,ŠA,566,353,
𒊮,U+122AE,ŠA3,599,384,ŠAG4
𒊯,U+122AF,ŠA3 x A,608,390,PEŠ4
𒊰,U+122B0,ŠA3 x BAD,600,,
𒊱,U+122B1,ŠA3 x GIŠ,603,,
𒊲,U+122B2,ŠA3 x NE,602,385,
𒊳,U+122B3,ŠA3 x ŠU2,609,389,
𒊴,U+122B4,ŠA3 x TUR,601,,
𒊵,U+122B5,ŠA3 x U,605,,
𒊶,U+122B6,ŠA3 x U + A,606,388,BIR6
𒊷,U+122B7,ŠA6,,,
𒊸,U+122B8,ŠAB6,,295k,
𒊹,U+122B9,ŠAR2,632; 633,396,TI2
𒊺,U+122BA,ŠE,579,367,
𒊻,U+122BB,ŠE ḪU,,,
𒊼,U+122BC,ŠE / ŠE GAD / GAD GAR / GAR,,,
𒊽,U+122BD,ŠE / ŠE TAB / TAB GAR / GAR,,,
𒊾,U+122BE,ŠEG9,878,551,
𒊿,U+122BF,ŠEN,17,8,Err:509
𒋀,U+122C0,ŠEŠ,535,331,URI3
𒋁,U+122C1,ŠEŠ2,821,544,
𒋂,U+122C2,ŠEŠLAM,100,65,
𒋃,U+122C3,ŠID,485,314,LAG
𒋄,U+122C4,ŠID x A,489,317,UMBISAG2
𒋅,U+122C5,ŠID x IM,487,317a,
𒋆,U+122C6,ŠIM,362,215,
𒋇,U+122C7,ŠIM x A,372,,
𒋈,U+122C8,ŠIM x BAL,363,"216,3; 217",
𒋉,U+122C9,ŠIM x BULUG,367,"218,2",
𒋊,U+122CA,ŠIM x DIN,366,221,
𒋋,U+122CB,ŠIM x GAR,373,225,
𒋌,U+122CC,ŠIM x IGI,371,,
𒋍,U+122CD,ŠIM x IGI gunû,368,219*,
𒋎,U+122CE,ŠIM x KUŠU2,375,223,
𒋏,U+122CF,ŠIM x LUL,369,,
𒋐,U+122D0,ŠIM x MUG,365,216,
𒋑,U+122D1,ŠIM x SAL,374,222,
𒋒,U+122D2,ŠINIG,,93,
𒋓,U+122D3,ŠIR,115,71,
𒋔,U+122D4,ŠIR tenû,116,,
𒋕,U+122D5,ŠIR / ŠIR BUR / BUR,,,
𒋖,U+122D6,ŠITA,388,"233,22",GA2
𒋗,U+122D7,ŠU,567,354,
𒋘,U+122D8,ŠU / inverted ŠU,,,
𒋙,U+122D9,ŠU2,869,545,
𒋚,U+122DA,ŠUBUR,22,53,
𒋛,U+122DB,SI,181,112,
𒋜,U+122DC,SI gunû,182,113,SU4
𒋝,U+122DD,SIG,881,592,
𒋞,U+122DE,SIG4,905; 906,567,MURGU; HZL nr. 311
𒋟,U+122DF,SIG4 / SIG4 ŠU2,907,568,
𒋠,U+122E0,SIK2,816,539,"SIG2, SIKI"
𒋡,U+122E1,SILA3,99,62,
𒋢,U+122E2,SU,16,7,"also KUŠ ""skin, hide"""
𒋣,U+122E3,SU / SU,,,
𒋤,U+122E4,SUD,584,373,BU gunû
𒋥,U+122E5,SUD2,139,,
𒋦,U+122E6,SUḪUR,646,403,
𒋧,U+122E7,SUM,292,164,
𒋨,U+122E8,SUMAŠ,323,182,
𒋩,U+122E9,SUR,151,101,
𒋪,U+122EA,SUR9,205,122d,
𒋫,U+122EB,TA,248,139,
𒋬,U+122EC,TA*,248v,,
𒋭,U+122ED,TA x ḪI,250,,
𒋮,U+122EE,TA x MI,251,,
𒋯,U+122EF,TA gunû,,,
𒋰,U+122F0,TAB,209,124,
𒋱,U+122F1,TAB / TAB NI / NI DIŠ / DIŠ,,,
𒋲,U+122F2,TAB squared,,,
𒋳,U+122F3,TAG,221,126,
𒋴,U+122F4,TAG x BI,,,
𒋵,U+122F5,TAG x GUD,,,
𒋶,U+122F6,TAG x ŠE,,,
𒋷,U+122F7,TAG x ŠU,,,
𒋸,U+122F8,TAG x TUG2,,,
𒋹,U+122F9,TAG x UD,,,
𒋺,U+122FA,TAK4,106,63,KID2
𒋻,U+122FB,TAR,9,12,
𒋼,U+122FC,TE,589,376,
𒋽,U+122FD,TE gunû,88,58,"URU5, GUR8"
𒋾,U+122FE,TI,118,73,
𒋿,U+122FF,TI tenû,,,
𒌀,U+12300,TIL,114,69,Err:509
𒌁,U+12301,TIR,587,375,
𒌂,U+12302,TIR x TAK4,,,
𒌃,U+12303,TIR / TIR,587v,,NINNI5
𒌄,U+12304,TIR / TIR GAD / GAD GAR / GAR,588,"375,46a-b",
𒌅,U+12305,TU,86,58,DU2
𒌆,U+12306,TUG2,809,536,NAM2
𒌇,U+12307,TUK,827,574,TUG
𒌈,U+12308,TUM,354,207,
𒌉,U+12309,TUR,255,144,
𒌊,U+1230A,TUR / TUR ZA / ZA,,,
𒌋,U+1230B,U,661,411,BUR3
𒌌,U+1230C,U GUD,,,
𒌍,U+1230D,U U U,711,472,"EŠ, ""30"""
𒌎,U+1230E,U / U PA / PA GAR / GAR,,,
𒌏,U+1230F,U / U SUR / SUR,,,
𒌐,U+12310,U / U U reversed / U reversed,713,474,"MAŠGI, BARGI"
𒌑,U+12311,U2,490,318,
𒌒,U+12312,UB,504,306,
𒌓,U+12313,UD,596,381,BABBAR
𒌔,U+12314,UD KUŠU2,611,392,UḪ2
𒌕,U+12315,UD x BAD,,,
𒌖,U+12316,UD x MI,597,382,ITIMA2
𒌗,U+12317,UD x U + U + U,,,
𒌘,U+12318,UD x U + U + U gunû,,,
𒌙,U+12319,UD gunû,542,337*,uncertain
𒌚,U+1231A,UD šešig,20,52,"ITI, UD x EŠ"
𒌛,U+1231B,UD šešig x BAD,,,
𒌜,U+1231C,UDUG,833,577; 578,
𒌝,U+1231D,UM,238,134,
𒌞,U+1231E,UM x LAGAB,,,
𒌟,U+1231F,UM x ME + DA,241,,
𒌠,U+12320,UM x ŠA3,,,
𒌡,U+12321,UM x U,239,,
𒌢,U+12322,UMBIN,,92b,
𒌣,U+12323,UMUM,,,
𒌤,U+12324,UMUM x KASKAL,,,
𒌥,U+12325,UMUM x PA,,,
𒌦,U+12326,UN,501,312,"UG3, UKU3 ""man"""
𒌧,U+12327,UN gunû,,,
𒌨,U+12328,UR,828,575,
𒌩,U+12329,UR crossing UR,828v,575a,
𒌪,U+1232A,UR šešig,829,,reconstruction
𒌫,U+1232B,UR2,341,203,
𒌬,U+1232C,UR2 x A + ḪA,346,,
𒌭,U+1232D,UR2 x A + NA,,,
𒌮,U+1232E,UR2 x AL,343,,
𒌯,U+1232F,UR2 x ḪA,347,"185,5",
𒌰,U+12330,UR2 x NUN,342,204,
𒌱,U+12331,UR2 x U2,344,,
𒌲,U+12332,UR2 x U2 + AŠ,345,185,
𒌳,U+12333,UR2 x U2 + BI,,,
𒌴,U+12334,UR4,835,594,
𒌵,U+12335,URI,574,359,BUR/BUR
𒌶,U+12336,URI3,,,
𒌷,U+12337,URU,71,38,Ri2
𒌸,U+12338,URU x A,81,,
𒌹,U+12339,URU x AŠGAB,,,
𒌺,U+1233A,URU x BAR,73,40,UKKIN
𒌻,U+1233B,URU x DUN,,,
𒌼,U+1233C,URU x GA,76,,
𒌽,U+1233D,URU x GAL,,,
𒌾,U+1233E,URU x GAN2 tenû,74,,
𒌿,U+1233F,URU x GAR,83,,
𒍀,U+12340,URU x GU,84,,
𒍁,U+12341,URU x ḪA,82,,
𒍂,U+12342,URU x IGI,79,,
𒍃,U+12343,URU x IM,,,
𒍄,U+12344,URU x IŠ,,,
𒍅,U+12345,URU x KI,,,
𒍆,U+12346,URU x LUM,,,
𒍇,U+12347,URU x MIN,80,,
𒍈,U+12348,URU x PA,,,
𒍉,U+12349,URU x ŠE,,,
𒍊,U+1234A,URU x SIG4,,,
𒍋,U+1234B,URU x TU,72,,
𒍌,U+1234C,URU x U + GUD,,,
𒍍,U+1234D,URU x UD,77,,
𒍎,U+1234E,URU x URUDA,75,41,BANŠUR
𒍏,U+1234F,URUDA,230,132,URUDU
𒍐,U+12350,URUDA x U,230,,
𒍑,U+12351,UŠ,381,211,NITA
𒍒,U+12352,UŠ x A,384,211a,
𒍓,U+12353,UŠ x KU,383,,
𒍔,U+12354,UŠ x KUR,,,
𒍕,U+12355,UŠ x TAK4,382,51*,
𒍖,U+12356,UŠX,583,372,"UZ, US, UŠ"
𒍗,U+12357,UŠ2,,69,
𒍘,U+12358,UŠUMX,,,
𒍙,U+12359,UTUKI,,,
𒍚,U+1235A,UZ3,203,122b,
𒍛,U+1235B,UZ3 x KASKAL,204,122c,
𒍜,U+1235C,UZU,311,171,
𒍝,U+1235D,ZA,851,586,
𒍞,U+1235E,ZA tenû,854,379; 380,"AS4, ERIM tenû"
𒍟,U+1235F,ZA squared x KUR,855,531; 588,
𒍠,U+12360,ZAG,540,332,
𒍡,U+12361,ZAMX,,,
𒍢,U+12362,ZE2,259,147,"ZI2, AB x PA"
𒍣,U+12363,ZI,140,84,
𒍤,U+12364,ZI / ZI,101,66,
𒍥,U+12365,ZI3,,536,
𒍦,U+12366,ZIB,628,395,
𒍧,U+12367,ZIB KABA tenû,,,
𒍨,U+12368,ZIG,336,190,"ZIK, NINDA x EŠ"
𒍩,U+12369,ZIZ2,,339,
𒍪,U+1236A,ZU,15,6,
𒍫,U+1236B,ZU5,,,
𒍬,U+1236C,ZU5 x A,,,
𒍭,U+1236D,ZUBUR,648,"364/5,2-3",
𒍮,U+1236E,ZUM,884,555,
𒍯,U+1236F,KAP ELAMITE,,,
𒍰,U+12370,AB x NUN,,,
𒍱,U+12371,AB2 x A,,,
𒍲,U+12372,AMAR x KUG,,,
𒍳,U+12373,DAG KISIM5 x U2 + MAŠ,,,
𒍴,U+12374,DAG3,,,
𒍵,U+12375,DIŠ + ŠU,,,
𒍶,U+12376,DUB x ŠE,,,
𒍷,U+12377,EZEN x GUD,,,
𒍸,U+12378,EZEN x ŠE,,,
𒍹,U+12379,GA2 x AN + KAK + A,,,
𒍺,U+1237A,GA2 x AŠ2,,,
𒍻,U+1237B,GE22,,,
𒍼,U+1237C,GIG,,,
𒍽,U+1237D,ḪUŠ,,,
𒍾,U+1237E,KA x ANŠE,,,
𒍿,U+1237F,KA x AŠ3,,,
𒎀,U+12380,KA x GIŠ,,,
𒎁,U+12381,KA x GUD,,,
𒎂,U+12382,KA x ḪI x AŠ2,,,
𒎃,U+12383,KA x LUM,,,
𒎄,U+12384,KA x PA,,,
𒎅,U+12385,KA x ŠUL,,,
𒎆,U+12386,KA x TU,,,
𒎇,U+12387,KA x UR2,,,
𒎈,U+12388,LAGAB x GI,,,
𒎉,U+12389,LU2 ŠEŠIG x BAD,,,
𒎊,U+1238A,LU2 x EŠ2 + LAL,,,
𒎋,U+1238B,LU2 x ŠU,,,
𒎌,U+1238C,MEŠ,,,
𒎍,U+1238D,MUŠ3 x ZA,,,
𒎎,U+1238E,NA4,,,
𒎏,U+1238F,NIN,,,
𒎐,U+12390,NIN9,,,
𒎑,U+12391,NINDA2 x BAL,,,
𒎒,U+12392,NINDA2 x GI,,,
𒎓,U+12393,NU11 rotated 90°,,,
𒎔,U+12394,PEŠ2*,,,
𒎕,U+12395,PIR2,,,
𒎖,U+12396,SAG x IGI gunû,,,
𒎗,U+12397,TI2,,,
𒎘,U+12398,UM x ME,,,
𒎙,U+12399,U U,,,
